"Smokers","Adults.with.Obesity","Physically.Inactive","With.Access.to.Exercise.Opportunities","Excessive.Drinking","Uninsured","Unemployed","Children.in.Poverty","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg","location"
14,29,17,85,21,9,3.6,23,77,2079,378.943159227723,57,6,12,14,9,176,16,6,32,11,49471,25,183.087009768521,136373,19.2,17.9,7.359488509,6.302207549,6,7494,55152.00688,"California Humboldt"
13,35,31,69,17,8,5.67479430080223,18.9694714944554,81.7,1636,313,37,3,14,13,9,199,14,9,34,11,46633,8,226,181827,28.5,13,12.04520277,8.052840357,10.4,5503.14265116749,45836.2171463431,"California Imperial"
12,28,27,42,20,9,3.9,15,78.1,284,348.686312449004,48.8751635834872,5.16755152543605,11,12,9,163,11,12,32,11,53793,15,94,17987,20.5,23.4,6.481656372,9.826263946,4.5,5809.90938825689,36445.0111521308,"California Inyo"
15,32,22,76,18,9,8,27.6067025915508,77.5,8412.58837535522,352.45146039301,48,6,13,13,9,213,13,5,37,11,51586,14,297.363947440409,823584.505604978,27.6232541924167,11,11.59487313,11.44629886,8.666667,34443.4511853364,415661.589754558,"California Kern"
14,29,24,44,21,9,7.7,23,79.7,1368,339,43,5,13,13,10,132,13,5,35,12,58255,12,117,151366,27.1,10.3,16.14505131,13.45136225,12,10726,75772.0684199966,"California Kings"
14,25,23,66,19,9,5.2,26,74.8,1438,536,52,6,13,14,13,267,16,9,32,11,45086,29,34,64382,21,22.7,4.332338308,8.694814528,3,603,2612.4,"California Lake"
11,22,16,84.4819317800527,19,10,4.7,20,82.3,3209.42653116518,260,35,4,11,11,8,155.104302454221,11,2,35,12,73073.4713801348,8,168.448039705276,325407.385190197,21.7,13.6,12.776556,7.610982019,11.45,11714.6996681702,122634.493835416,"California Los Angeles"
13,36,28,70,20,10,7,29,79.6,1637,331,48,5,13,14,12,141,11,9,35,14,53632,11,197,157672,27.5,14,13.50019882,10.06929749,10.916667,6635.39599687553,59625.7201876216,"California Madera"
10,17,13,85.6000411226843,20,5,2.4,6,85.4,1818,165,17,3,9,11,5,130.994064683909,10,2,28,6,74671.369583022,13,219.404909381435,259666,20,22.3,8.895236686,7.351098993,7.7,7961,56125.8711656851,"California Marin"
12,24,21,49,19,8,5.3,23,79.2,284,375,45.5466014020893,5.63728636390535,11,12,7,136,14,6,30,9,51402,32,9,17471,16.2,27.9,10.08062486,15.01679994,7.375,7848.98387182396,65364.6413625248,"California Mariposa"
13,32,19,72,19,11,3.9,26,79.3,1236,350,62,7,12,13,8,116.145287967487,14,7,31,13,51386,21,96,87606,21.4,22.1,7.794733545,7.654382274,6.5,5504.18642691078,39780.1580520938,"California Mendocino"
14,28,22,70,19,9,8.3,29,78.8,2695,354,44,4,14,14,14,121,13,7,36,12,56169,10,208,274765,29.3,11.2,12.74394317,9.690745416,9.914855,7972,59208.507218377,"California Merced"
12,25,18,81.8115588788914,20.1105114893954,10,3.8,12,80.7451213955248,104,188,38.0571527037364,4.4560265551944,10,11,6,49,11,6.29245858373238,31,11,57974.3705920254,16.1554445785726,10,14250,18.3,15.8,6.149510522,5.51450999196533,3.5,3194,19641.53661,"California Mono"
12,28,20,90,19,11,6.3,19,82.5,1362.42830049009,249,41,4,13,12,8,192,10,3,32,15,60985.7689375556,10,221,136447.027577514,26.1,13.6,5.732560755,4.337603578,5.083333,6770.25690132511,47046.1244009228,"California Monterey"
10,24,19,81.5749497272665,20,9,2.9,9,81.8,1284,241,29,3,10,11,9,107.070179027927,8,2,31,10,73184.1359826944,10,158.224223555219,139417,20.7,19.1,10.36731987,8.597272231,9,6974,62592.3121060319,"California Napa"
12,22,14,81,21,7,3.5,14,81.3,1221,271,36,4,10,12,6,117,12,7,27,8,66681,19,156,99696,17.1,27.5,6.028057179,7.071440629,5,3657,22044.6051,"California Nevada"
9,19,15,100,20,8,2.9,13,83.1,2326.48101633728,214,30,3,9,10,9,247,9,1,31,10,75546.8095549951,10,161.144422474032,246598.321137538,21.9,14.8,12.30724015,6.907910273,11,8786.67284626192,83781.8241616091,"California Orange"
10,21,15,94,20,4,3.2,7,82.2,1580.57222358907,233,28,4,9,11,7,101,10,3,29,5,71764.9399332242,12,279,173049.771782857,22.2,19.6,7.761088592,7.635669554,6.5,8170.40364222496,61896.8691296058,"California Placer"
11,27,24,66.9521780665022,19,7,7.5,20,78.5,336,346.3430520287,44.9588413996595,5.73929237204887,11,12,11,109,16,2,30,8,55079,22,45,18804,16.9,22.9227045841381,11.37722516,10.1427373,7.6,4220,48011.89018,"California Plumas"
12,27,21,81.0553161979147,20,9,4.4,17,80.9,3144.61443113762,296,36,4,12,13,9,148.244990221495,9,7,37,11,70374.5433133775,11,146.32522212259,312387.544251043,25.1,14.4,11.88415523,7.818992178,10.5,10815.676366918,117484.099854496,"California Riverside"
12,29,19,82.293211384071,20,6,3.8,21,79.6,1999.44307936601,324,41,5,11,12,10,125.807467788896,14,4,35,8,63984.324767282,13,157.533524058715,192441.412081115,23.6,14.1,9.412892529,9.984204163,7.2,8571.72697647559,79111.9590854579,"California Sacramento"
11,32,28,66,21,8,5.1,12,82,477,247,38,4.72540651607556,11,11,9,83,6,3,31,10,58951.7964236633,10,120,61537,25.7,12.9,5.108243919,3.935983194,4.391304,5661.88041469619,41999.9815,"California San Benito"
13,29,23,84,19,8,4,21,78.8,4159.55265350592,349,48,6,12,12,9,225,10,8,37,11,63857.4964960988,11,594,392507.045589972,26.4,11.6,11.61913983,7.598069364,10.166667,13584.5985175245,152899.433872746,"California San Bernardino"
11,20,14,84.9463320105038,22,8,3.3,15,82.2,2171.50079474744,244,34,4,11,11,7,133.333512058332,11,3,32,10,76062.8026425525,12,186.549284484919,235714.980996052,21.6,14,9.909568777,5.755669071,9.345,8491.41992602407,74324.5265861311,"California San Diego"
10,18,14,85.900871256683,23,5,2.4,11,83.8,1491.66574569946,233,33,3,9,10,7,129.767605686313,13,0,29,6,72639.5833917714,10,208.568901662641,166404.158125941,13.4,15.7,9.030157194,7.851078337,7.75,7147,64538.53346,"California San Francisco"
12,33,25,86,20,8,6,21,78.5,5259.44399575353,366,46,5,11,12,10,214,13,5,34,10,56706.6337757594,11,214.887317352218,508332.719511823,27.1,12.7,10.93387957,10.61434331,8.291667,21816.5736241142,250440.850304161,"California San Joaquin"
11,26,15,88,20,7,2.9,11,81.5,2779,261,32,5,10,12,8,159,12,4,27,9,68528.969600974,18,152,284010,17.6,20.1,7.770556301,5.197248079,6.652174,6672.62325115172,47490.4991746418,"California San Luis Obispo"
9,21,16,100,19,5,2.2,7,84.7,4844,179,27,3,8,9,8,238,8,1,30,6,77742.5277927596,8,1479,408246.634442752,20.6,16.1,8.424353553,6.791138282,7.25,7266,61211.35292,"California San Mateo"
11,25,16,92,21,11,3.9,15,82.1,1825.556654362,251,43,4,11,12,9,153,10,3,27,13,68487.771292163,13,209.609546545567,198425.852997872,22.1,15.3,7.540149603,5.66040326,6.9,8410.38590038686,63962.7319392183,"California Santa Barbara"
8,19,16,99,17,5,2.6,7,84.6,7484.21238644927,190,28,3,8,9,8,185,9,1,30,6,81574.3243135218,8,1524,797262.340305113,21.9,13.5,8.901499078,6.916314849,7.6,23606.6884073841,112447.657428875,"California Santa Clara"
11,19,11,94,23,7,4.9,15,82.8,2263,230,33,4,11,12,7,197,11,4,27,9,84213,15,375,274255,19.3,16.5,6.448137443,5.735250287,5.4,11505,74185.82128,"California Santa Cruz"
14,24,20,78,19,7,4.9,18,76.2,3110,405.418570929755,45,5,12,13,11,126,16,9,30,9,53908,25,209,180040,21.4,20.9,4.752751866,7.34081539,3.2,2144,10189.9,"California Shasta"
14,32,23,72,18,9,6.7,24,76.6,820,399.177710476667,48,5.91170166535428,12,14,13,150,17,10,32,10,47560,22,76,43724,20.1,25.5,7.620861015,14.56734138,3.5,2634,20073.34791,"California Siskiyou"
12,30,23,79.2973878252805,20,6,3.9,10,80,2148.42767940088,305,47,6,10,11,10,123.59879523456,13,3,35,7,66772.8006190005,13,156.033883816397,200463.690832265,22.1,15.8,9.751464568,8.704391096,8.083333,6567.6082199958,68759.7606895619,"California Solano"
10,22,16,84.8753651708299,22,8,2.7,12,82,1373.30639796393,243,27,3,10,12,7,119.881106412001,10,4,31,9,68565.7930932448,13,196.67279481498,147010.605140436,19.6,19.7,7.389102063,7.217204052,6.083333,7099,52455.23555,"California Sonoma"
13,31,24,79.743385111209,21,7,6.4,21,78.2,4914.18477712901,371,41,5,12,13,11,154,12,5,35,9,59630.9244736011,11,208.361873804196,459849.610928012,27.1,13.2,13.01048108,7.29721872092822,9.291667,18347.5424759924,212918.697505824,"California Stanislaus"
12,32,25,67,19,9,7.5,18,78.8,1148,363,43,6,11,12,10,110,14,11,33,11,57879,15,151,96807,25.9,15.4,10.44982586,10.00875592,8.541667,11374,63261.8781819878,"California Sutter"
14,28,28,59,19,8,5.7,24,76.7,1016,431,49,4,13,14,10,84,14,10,31,10,47572,20,86,63916,24,19.4,7.012965463,7.722086654,5.5,6925,48564.78583,"California Tehama"
15,34,24,63.7948203604602,18,9,5.7,21.8976763869607,77.4,251,355.316235067433,49.6303429573379,6.0331892214278,13,14,8,124,17,7,31,10,40680,21.5470316722288,19,12535,17.1,27.3,12.86762778,6.10672141004268,7.6,3816,49102.86762,"California Trinity"
14,37,27,60,18,9,9.6,29,78.5,8001.85103739232,362,48,6,15,15,9,114,13,8,33,12,48763,11,192,780606.249443876,30.7,11.4,14.95839917,11.82124247,11.8,32656.078832906,393971.74720921,"California Tulare"
11,21,17,82.2665377345069,19,9,3.8,12,82.5,2038.92166998495,232,33,4,10,11,9,137,8,3,33,12,72647.72744171,11,172.518593493305,217360.085508234,22.9,15.6,8.542768679,8.122855082,7.916667,8838.68026257899,78635.7552935845,"California Ventura"
11,24,14,96,21,6,4.2,15,81.6,1624,259,34,4,11,12,6,135,13,2,30,7,73799.7679392682,11,219.329455925426,220408,21,12.5,8.890390578,7.914303742,7.375,7387,65673.3152,"California Yolo"
16,28,20,78.853353811723,19,11,3.5,13,79.2,2130.12805633732,319,44,5,11,11,8,93.1977618186328,8,6,31,14,68214.7347045411,19,135.529673536896,222162.482808347,26.5,10.5,9.380792241,5.326062755,8.3,3791,35562.58339,"Colorado Adams"
17,24,24,83,17,13,4.2,24,76.2,206,400.692068130788,59.8393954151354,6.02263824572066,14,14,6,133,12,3,32,16,42897,25,144,16683,24,13.6,2.849773345,2.334569653,2.3,1103,3143.3,"Colorado Alamosa"
13,22,17,74.6089743493556,18,9,3.2,10,81.1,1134.65248538791,250,42,5,9,11,7,74.1637358622012,11,2,28,10,65334.6870213058,18,131.398380207058,120382.749107547,23.6,13.1,6.106073211,4.000922631,5.2,1202,7339.5,"Colorado Arapahoe"
